id,precio_soles,precio_dolares,mantenimiento,direccion,ubicacion,area_total,dormitorios,banos,estacionamientos,descripcion,url,site
17054,0,913500,0,"Departamento en El Olivar, Lima","El Olivar, San Isidro, Lima",255,3,3,0,Departamento en venta con terraza y 3 dormitorios en venta proyecto de 9 departamentos. Ubicación privilegiada a pasos de...,https://www.laencontre.com.pe/inmueble/69bb-8ff3-a8b4661f-efc80ce783b7-38e6,laencontre
17055,0,80000,0,"Departamento en Maranga, Lima","Maranga, San Miguel, Lima",69,2,1,0,📍Ubicación: Av. Los Patriotas – Zona residencial tranquila y con excelente conectividad. ▶️Dpto. SIN AMOBLAR ( Vista a la...,https://www.laencontre.com.pe/inmueble/7c6-892d-19c2ac1-7a132e1c6812-730e,laencontre
17056,0,149000,0,"Departamento en Mayorazgo, Lima","Mayorazgo, Ate, Lima",105,3,2,0,“El lugar perfecto para empezar una nueva etapa y construir el estilo de vida que buscas.” ¡Departamento en venta! en el...,https://www.laencontre.com.pe/inmueble/e176-8288-19d318c-230700a5e820-72ed,laencontre
17057,0,620000,0,"Departamento en Calle Los Álamos 396, San Isidro, Lima, 15073, Per","Orrantia, San Isidro, Lima",261.86,3,3,0,🏡 Exclusivo Departamento en Av. Jorge Basadre – San Isidro 📏 262 m² | 3 dormitorios | 3 cocheras | Área social con piscina...,https://www.laencontre.com.pe/inmueble/9a88-bc5e-fc48ab66-8ee60b5c52af-48af,laencontre
17058,0,128000,0,"Departamento en Jirón Padre Guatemala 281, San Miguel, Lima, 15087, Per","San Miguel, Lima",93.85,3,2,0,"Si estás buscando ubicación estratégica + comodidad, este departamento en San Miguel es una oportunidad que no puedes dejar...",https://www.laencontre.com.pe/inmueble/9a9a-bd90-c63739eb-f292fb0664e6-455a,laencontre
17059,0,260000,0,"Departamento en Jirón Justo Vigil 157, Magdalena Del Mar, Lima, 15076, Per","Magdalena del Mar, Lima",125,3,2,0,✨ Amplio departamento de 125 m² en Magdalena – ¡Con áreas comunes espectaculares! Disfruta de un departamento luminoso...,https://www.laencontre.com.pe/inmueble/9a39-9e20-c06753fb-b74122dee206-4be5,laencontre
17060,0,130000,0,"Departamento en Avenida Los Ingenieros, Ate, Lima, 15012, Per","La Molina, Lima",118,3,2,0,🏡 AMPLIO DEPARTAMENTO EN VENTA – LA MOLINA (URB. RESIDENCIAL MONTERRICO) ¡Disfruta de la comodidad y ubicación que buscas...,https://www.laencontre.com.pe/inmueble/e3d1-90b6-ad74cc7d-8bf26b75dab1-47f2,laencontre
17061,0,52000,0,"Departamento en Calle A, Ate, Lima, 15011, Per","Santa Anita, Lima",65.06,2,2,0,"✨ ¡Descubre tu próximo hogar en Ate, Lima! ✨ 🏡 Te presentamos este acogedor departamento flat, perfecto para empezar ...",https://www.laencontre.com.pe/inmueble/2307-bd9d-9c163e14-b94dc11906ad-4d86,laencontre
17062,0,98000,0,"Departamento en Avenida Manuel Gonzales Prada 618, Magdalena Del Mar, Lima, 15076, Per","Magdalena del Mar, Lima",72,2,1,0,Vive donde todo conecta. Este dúplex de 72 m² en piso 8 con ascensor está ubicado en una de las zonas más prácticas de...,https://www.laencontre.com.pe/inmueble/e9b9-9d8a-851bbf02-5114a004e5a2-4f44,laencontre
17063,0,96000,0,"Departamento en Jirón Ariadna 4, Urbanización San Jerónimo, Santiago De Surco, Lima, Per","Santiago de Surco, Lima",77,3,2,0,"Vive en un departamento cómodo, iluminado y con excelente distribución. Ubicado en un 2do piso con vista exterior, este hogar...",https://www.laencontre.com.pe/inmueble/8e5d-ac47-6608deb3-1744715cf80c-41fc,laencontre
17064,0,320000,0,"Departamento en Calle Comandante Juan Fanning 561, Miraflores, Lima, 15074, Per","Armendáriz, Miraflores, Lima",126,3,2,0,✨🏡 Vive en Miraflores a pasos de Larcomar 🏡✨ Nuevo ingreso de departamento de 126 m² en Miraflores en piso 3 con ascensor...,https://www.laencontre.com.pe/inmueble/155e-8fc6-63186d96-c2da42a149d4-417c,laencontre
17065,0,110000,0,"Departamento en Avenida Brasil 725, Breña, Lima, 15083, Per","Oyague, Jesus Maria, Lima",71,3,2,0,"S/370,000 PRECIO DE VENTA : $110,000 (negociable) Oportunidad única en Jesús María! Departamento de 71 m² en venta en Av...",https://www.laencontre.com.pe/inmueble/5c54-8a87-19b54a8c-fcecd7675bc0-4fd9,laencontre
17066,0,450000,0,"Departamento en Calle Bartolomé Trujillo 292, Miraflores, Lima, 15047, Per","Miraflores, Lima",213.14,3,4,0,"Vivir en Miraflores es elegir ubicación, pero también calidad de vida. Este dúplex, ubicado en los pisos 3 y 4, ofrece una...",https://www.laencontre.com.pe/inmueble/7d6b-ad5d-174911c3-1fe8410a7487-4b98,laencontre
17067,0,212056,0,"Departamento en Calle Los Tilos 108, Urbanización El Palmar, Santiago De Surco, Lima, 15063, Per","Santiago de Surco, Lima",156.63,3,4,0,"🏡 **Departamento Duplex en Venta – Surco** 📍 Frente a parque con sede de serenazgo 💵 **Precio:** S/715,000 🚗 **1...",https://www.laencontre.com.pe/inmueble/c5da-b760-49b61b5-da834e3c86c1-4196,laencontre
17068,0,272000,0,"Departamento en Jirón Señor De Sipán 130, Conjunto Habitacional Huertos De San Antonio, Santiago De Surco, Lima, 15023, Per","Santiago de Surco, Lima",141.27,3,3,0,"🌟 ¡Hermoso Departamento Flat de 142 m² en Venta! 🌟 Vive con tranquilidad, seguridad y todo al alcance de tu mano. Este...",https://www.laencontre.com.pe/inmueble/e82e-9c01-12ae1b3-5bca7b8a1216-500a,laencontre
17069,0,165000,0,"Departamento en Av. Los Faisanes 1040, Santiago De Surco, Perú","Santiago de Surco, Lima",110,3,2,0,"Vive en un espacio que combina comodidad, modernidad y una excelente ubicación en Santiago de Surco! Este dúplex de 110 m²...",https://www.laencontre.com.pe/inmueble/7e2b-865f-19ae684-b3b71deb2fd9-763d,laencontre
